"ID","Description","density","clutterFlags","assetPath0","assetPath01","assetPath02","assetPath03","assetPath04","assetPath05","assetWeight0","assetWeight01","assetWeight02","assetWeight03","assetWeight04","assetWeight05","flag0","flag01","flag02","flag03","flag04","flag05","minScale0","minScale01","minScale02","minScale03","minScale04","minScale05","rotationMin0","rotationMin01","rotationMin02","rotationMin03","rotationMin04","rotationMin05","rotationMax0","rotationMax01","rotationMax02","rotationMax03","rotationMax04","rotationMax05","emissiveGlow00","emissiveGlow01","emissiveGlow02","emissiveGlow03","emissiveGlow04","emissiveGlow05"
109,"Auroria_Hay_Stalks",350,2,"Art\Terrain\_Auroria\Clutter\Clutter_Hay_Plants_Auroria\Clutter_Hay_Stalks_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Plants_Auroria\Clutter_Hay_Stalks_Auroria_001.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Plants_Auroria\Clutter_Hay_Stalks_Auroria_002.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_002.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_003.m3","",0.5,0.5,0.2,1,1,0,2,2,2,2,2,2,1.25,0.5,1,1,1,1,-3.12414,-0.436332,-0.174533,0,0,0,3.12414,0.872665,0.436332,0,0,0,0,0,0,0,0,0
110,"Auroria_Crop_Fruit",200,0,"Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Fruit_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Fruit_Auroria_001.m3","","","","",1,1,0,0,0,0,2,2,2,6,6,6,2.3,1.75,1,0.3,0.3,0.3,-1.65806,-1.65806,-3.12414,-3.12414,-3.12414,-3.12414,1.65806,1.65806,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
111,"Auroria_Crop_Shrubs",250,2,"Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_006.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_007.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_008.m3","","","",1,1,1,0,0,0,6,6,6,6,6,6,3,2,2.5,0.3,0.3,0.3,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
112,"Auroria_Crop_Berries",350,2,"Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Berries_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Berries_Auroria_001.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Berries_Auroria_002.m3","","","",1,1,1,0,0,0,6,6,6,6,6,6,3,2,2.5,0.3,0.3,0.3,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
113,"Auroria_Dirt_Clumpy",2.5,0,"","","","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Scrub_Malgrave_005.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Scrub_Malgrave_004.m3","",0.01,0.01,0.01,0.25,0.01,0.012,2,2,2,6,6,2,2.5,1.25,3,2.25,1.5,3,-3.10669,-3.10669,-3.10669,-3.10669,-3.10669,-3.10669,3.12414,3.12414,3.10669,3.10669,3.10669,3.10669,0,0,0,0,0,0
114,"Auroria_Dirt_Clumpy_DELETE",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"Copy of Malgrave_Dirt",2.5,0,"Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Cactus_Malgrave_000.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Cactus_Malgrave_001.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Flower_Malgrave_006.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Scrub_Malgrave_005.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Scrub_Malgrave_004.m3","",0.01,0.01,0.01,0.25,0.01,0.012,2,2,2,0,2,2,2.5,1.25,3,2.25,1.5,3,-3.10669,-3.10669,-3.10669,-3.10669,-3.10669,-3.10669,3.12414,3.12414,3.10669,3.10669,3.10669,3.10669,0,0,0,0,0,0
116,"<New>",250,0,"Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_000.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_001.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_002.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_003.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_004.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_005.m3",0.26,0.25,0.25,0.08,0.08,0.08,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"<New>",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"Wilderun_Bubbles",150,0,"Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_013.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_014.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_015.m3","","","",5,3,8,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"Wilderun_Mossv",85,2,"Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_001.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_012.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_001.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","","",1.01,1,0.25,3,3,0,6,6,6,6,6,0,5,2,6,5,1.01,0,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0,0
120,"Wilderun_plants_001",500,2,"","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_004.m3","Art\Terrain\_Wilderun\Clutter\Clutter_GroundBubbles_Wilderun_001.m3","","","",0.1,0.4,0.6,0.5,0.05,0,4,4,6,6,6,0,4,7,19,16,3,0,-3.12414,3.12414,-2.53073,0,3.12414,0,3.12414,-3.12414,-2.53073,0,-3.12414,0,0,0,0,0,0,0
121,"Wilderun_Ground_Bubbles",150,2,"Art\Terrain\_Wilderun\Clutter\Clutter_GroundBubbles_Wilderun_001.m3","Art\Terrain\_Wilderun\Clutter\Clutter_GroundBubbles_Wilderun_000.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_021.m3","Art\Terrain\_Wilderun\Clutter\Clutter_GroundBubbles_Wilderun_000.m3","","",0.6,0.4,0.01,0.01,1,1,6,6,6,6,0,6,20,15,7,20,6,4,-0.174533,-0.174533,-3.12414,-3.12414,-3.12414,-3.12414,0.174533,0.174533,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
122,"Wilderun_Pustules",20,0,"Art\Terrain\_Wilderun\Clutter\Clutter_Pustules_Wilderun_Pustule_000.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Pustules_Wilderun_Pustule_001.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Pustules_Wilderun_Pustule_002.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Pustules_Wilderun_Pustule_003.m3","","",1,1,1,1,0,0,6,6,6,6,0,0,0.5,0.5,0.5,0.5,0,0,3.12414,3.12414,3.12414,3.12414,0,0,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0,0
123,"Wilderun_grass",500,2,"Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_009.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Bulb_Wilderun.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_004.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_009b.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_001.m3","",0.5,0.01,0,0.25,0,0,6,6,6,6,0,0,9,3,3,7,4,0,2.82743,0.139626,0,2.63545,0,0,3.08923,-0.139626,0,3.03687,0,0,0,0,0,0,0,0
124,"Wilderun_Grass_Clutter_001",200,2,"Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_010.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_010.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_008.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_028.m3","","",0.1,0.1,0.4,0.8,0,0,6,6,6,0,0,0,11,10,6,6,0,0,0.994838,0.558505,-1.88496,-2.37365,0,0,1.25664,0.663225,-1.5708,-1.65806,0,0,0,0,0,0,0,0
125,"wilderun_leaf_cover",300,2,"Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_012.m3","",0.25,0.05,0.25,0.45,0.01,0,6,6,6,6,6,0,12,21,8,6,3,0,3.12414,3.12414,3.12414,3.12414,3.12414,0,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0
126,"Moss_Wilderun",15,2,"Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_018.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_011.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_007.m3","Art\Terrain\_Wilderun\Clutter\Clutter_Plant_Wilderun_019.m3","",0.5,0.1,0.5,0.05,0.25,0,6,6,6,6,6,0,10,4,8,10,35,0,0,-3.12414,-3.12414,-3.12414,-3.12414,0,0,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0,0
127,"NorthernWilds_Frozen",500,2,"Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Frosty_NWilds_000.m3","Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Frosty_NWilds_001.m3","Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Frosty_NWilds_002.m3","","","",1,1,1,0,0,0,6,6,6,6,6,6,1.5,1,1.75,1,1,1,-0.0174533,-0.0174533,-0.0174533,0,0,0,0.0174533,0.0174533,0.0174533,0,0,0,0,0,0,0,0,0
128,"Nwilds_SnowClumps",25,2,"Art\Terrain\_NorthernWilds\Clutter\snow\Clutter_Snow_NWilds_000.m3","Art\Terrain\_NorthernWilds\Clutter\snow\Clutter_Snow_NWilds_001.m3","Art\Terrain\_NorthernWilds\Clutter\snow\Clutter_Snow_NWilds_002.m3","","","",0.5,0.5,0.5,0,0,0,2,2,2,0,0,0,0.75,0.5,0.25,0,0,0,-3.12414,-3.12414,-3.12414,0,0,0,3.12414,3.12414,3.12414,0,0,0,0,0,0,0,0,0
129,"Gravel_Algoroc_LOW",100,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_006.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_007.m3","","","",1,1,1,0,0,0,6,6,6,6,6,6,0.3,7,10,1,1,1,-3.12414,-3.12414,-3.12414,0,0,0,3.12414,3.12414,3.12414,0,0,0,0,0,0,0,0,0
131,"Eldan_Rubble",30,0,"Art\Terrain\Rubble\Clutter\rubble_EldanBits_clutter_001.m3","Art\Terrain\Rubble\Clutter\rubble_EldanBits_clutter_002.m3","Art\Terrain\Rubble\Clutter\rubble_EldanBits_clutter_003.m3","Art\Terrain\Rubble\Clutter\rubble_EldanBits_clutter_004.m3","Art\Terrain\Rubble\Clutter\rubble_EldanBits_clutter_005.m3","",1,0.25,1,1,1,0,2,2,2,2,2,0,2,4,2,5,5,0,3.12414,3.12414,3.12414,3.12414,3.12414,0,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0
132,"Terrain_Scorched",27,2,"Art\Terrain\Scorched\Clutter\Clutter_Scorched_001.m3","Art\Terrain\Scorched\Clutter\Clutter_Scorched_002.m3","Art\Terrain\Scorched\Clutter\Clutter_Scorched_003.m3","Art\Terrain\Scorched\Clutter\Clutter_Scorched_004.m3","","",1,1,1,1,0,0,6,6,6,6,0,0,1,2,2,4,0,0,3.12414,3.12414,3.12414,3.12414,0,0,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0,0
133,"NWilds_Mud",22,2,"Art\Terrain\_NorthernWilds\Clutter\Mud\Clutter_Mud_NWilds_000.m3","Art\Terrain\_NorthernWilds\Clutter\Mud\Clutter_Mud_NWilds_001.m3","Art\Terrain\_NorthernWilds\Clutter\Mud\Clutter_Mud_NWilds_002.m3","","","",0.25,0.5,0.25,0,0,0,6,6,6,0,0,0,0.025,0.015,0.025,0,0,0,3.12414,3.12414,3.12414,0,0,0,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0,0,0
134,"Algoroc_Plants",9,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Grass_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Grass_001.m3","","","",1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"Road_Hex_Clutter_001",3,2,"Art\Terrain\Road\Clutter\Clutter_Road_Hex_002.m3","Art\Terrain\Road\Clutter\Clutter_Road_Hex_005.m3","Art\Terrain\Road\Clutter\Clutter_Road_Hex_006.m3","","","",0.5,0.25,0.25,1,0,0,6,6,6,0,0,0,5,7,7,6,0,0,3.12414,3.12414,3.12414,0,0,0,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0,0,0
136,"Gravel_Algoroc_Rougher",100,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_001.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_003.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_005.m3","","","",0.5,0.25,0.25,1,1,1,6,6,6,2,2,2,3.3,3.3,2.3,3.3,3.3,3.3,-3.12414,3.12414,3.12414,3.12414,3.12414,0,3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0
137,"Gravel_Weeds",300,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_007.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_014.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_004.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_005.m3","","",0.9,0.1,0.05,0.04,1,1,6,6,6,6,2,2,3.7,2.5,1,0.7,3.3,3.3,-3.12414,3.12414,3.12414,3.12414,3.12414,0,3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0
138,"Road_Hex_Clutter_002",3,0,"Art\Terrain\Road\Clutter\Clutter_Road_Hex_008.m3","Art\Terrain\Road\Clutter\Clutter_Road_Hex_007.m3","Art\Terrain\Road\Clutter\Clutter_Road_Hex_005.m3","","","",0.5,0.25,0.25,1,0,0,6,6,6,0,0,0,6,7,7,6,0,0,3.12414,3.12414,3.12414,0,0,0,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0,0,0
139,"Algoroc_Dead_Grass",200,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_DeadGrass_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_DeadGrass_001.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_DeadGrass_002.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_DeadGrass_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_DeadGrass_004.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_02.m3",0.3,0.2,0.3,0.1,0.09,0.01,6,6,6,6,6,0,3.75,3.2,3.5,4.4,6.025,12,-0.0872665,-1.76278,-2.89725,0,-2.98451,-3.12414,0.0872665,-1.78024,-2.89725,0,-3.08923,3.12414,0,0,0,0,0,0
140,"Algoroc_Dead_Grass_flowers",200,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_01.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_10.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_07.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_07b.m3","","",0.1,0.4,0.4,0.1,0,0.01,6,6,4,4,6,6,13.75,14.01,9.25,5.8,0.8,1.2,2.96706,-3.12414,3.12414,-3.12414,-3.12414,-3.12414,2.96706,3.12414,-3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
141,"Algoroc_Dead_Grass_weeds",200,2,"","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_05.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_06b.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_06.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Drygrass_03.m3","",0.1,0.1,0.1,0.1,0.6,0.1,6,4,4,4,6,0,11.75,8.5,10.25,8.8,13.025,6,-2.61799,-3.12414,-3.12414,-3.12414,-1.91986,3.12414,-2.61799,3.12414,3.12414,3.12414,-1.0472,-3.12414,0,0,0,0,0,0
142,"Algoroc_Dead_Grass_Gravel",250,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_005.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_003.m3","","","","",0.75,0.025,0,0.25,0,0,6,6,6,6,6,0,4.75,1.01,4.25,4.01,2.025,0,3.12414,-3.12414,0,-3.12414,0,0,-3.12414,3.12414,0,3.12414,0,0,0,0,0,0,0,0
143,"BugTest01",250,0,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_002.m3","","","","","",0.26,0.25,0.25,0.08,0.08,0.08,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"Algoroc_Loftite_cluster",132,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Loftite_004.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Loftite_003.m3","","","","",0.5,0.5,0.2,0,1,0,2,2,2,2,2,0,8,4,5,11,22,0,3.12414,3.12414,1.74533,3.12414,3.12414,0,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0
146,"Algoroc_Loftite",368,0,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Loftite_001.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Loftite_002.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Loftite_006.m3","","","",0.5,0.5,0.2,0,1,0,2,2,2,0,0,0,2,1,5,11,22,0,-3.12414,-3.12414,-3.12414,0,0,0,3.12414,3.12414,3.12414,0,0,0,0,0,0,0,0,0
147,"Galeras_82_WildWeeds",300,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_013.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_015.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_016.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_013.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_015.m3","",0.08,0.45,0.06,0.08,0.15,0.02,4,4,6,4,4,0,1.75,1.5,5,2,2.5,9,-3.12414,-3.12414,0.261799,-3.12414,-3.12414,0,3.12414,3.12414,-0.261799,3.12414,3.12414,0,0,0,0,0,0,0
148,"Galeras_82_GrassTufts",250,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_018.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_017.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_014.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_018.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_017.m3","",0.15,0.3,0.04,0.15,0.03,0.25,6,6,4,6,6,0,1.8,4.5,2.2,2.5,6,4,2.96706,1.5708,-3.12414,2.79253,1.5708,-2.05949,1.0472,0,3.12414,1.22173,0,0.872665,0,0,0,0,0,0
149,"Galeras_82_DeadWeeds",80,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_020.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_021.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_019.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_021.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_019.m3","",0.05,0.075,0.1,0.075,0.1,0,2,2,2,2,2,0,7,5.01,2.75,2.75,2,0,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0,0
150,"Algoroc  Pine Forest Bed",100,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_ForestBedPineNeedles_GoldDark_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_ForestBedPineNeedles_GoldDark_001.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_ForestBedPineNeedles_GoldDark_002.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_ForestBedPineNeedles_GoldDark_003.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_ForestBedPineNeedles_GoldDark_004.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_ForestBedPineNeedles_GoldDark_005.m3",0.08,0.07,0.05,0.27,0.1,0.1,3,3,3,3,3,3,0.7,0.7,0.7,0.7,1,2,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
151,"<New>",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"Galeras_544_Base",150,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_Crazy_000.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_05.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_Crazy_001.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_Crazy_002.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_Crazy_003.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_Crazy_000.m3",0.4,0.13,0.2,0.2,0.2,0.09,6,6,6,6,6,2,1.18,3,1.5,1.5,1.2,2,-0.174533,-0.174533,-0.174533,-0.174533,-0.174533,-0.436332,0.174533,0.174533,0.174533,0.174533,0.174533,0.436332,0,0,0,0,0,0
153,"Galeras_544_DryWeeds",100,2,"","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_01.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_09.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_01.m3","","",0.25,0.25,0.75,0.25,0.25,0.0015,6,6,6,6,0,0,6,9,12,13,1,3,-1.46608,-1.8326,-1.0472,-1.8326,0,0,-1.39626,-1.39626,-0.523599,-0.785398,0,0,0,0,0,0,0,0
154,"Galeras_544_SoftHay",100,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_03.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_05.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_02.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_03.m3","","",0.8,0.3,0.15,0.1,0.25,0.0015,6,6,6,6,0,0,10,3,6.5,4,1,3,2.28638,-3.12414,-3.12414,2.28638,0,0,1.67552,3.12414,3.12414,1.67552,0,0,0,0,0,0,0,0
155,"Galeras_544_TallPlantsWithFlowers",300,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_04_b.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_04.m3","","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_05.m3","","",0.4,0.2,0.05,0.4,0.2,0.05,0,4,2,4,2,2,6,8,8,4,8.75,6,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0
156,"galeras_brush_rock",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"Galeras_87_Sand_Bones",180,2,"Art\Terrain\_Galeras\Clutter\Clutter_SandPlantBone_001.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandPlantBone_002.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandPlantBone_003.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandPlantBone_004.m3","","",0.2,0.2,0.2,0.1,0.05,0.05,6,6,6,6,6,6,23,21,18,12,18,18,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
158,"Galeras_87_Sand_Stones",275,2,"Art\Terrain\_Galeras\Clutter\Clutter_SandPlant_002.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandPlant_004.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandPlant_005.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandPlant_004.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandRock_001.m3","Art\Terrain\_Galeras\Clutter\Clutter_SandRock_001.m3",0.1,0.1,0.1,0.1,0.2,0.2,6,6,6,6,6,6,5,4,4,4,3,6,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
