"ID","description","item2TypeId","objectModel","objectModelL","objectTexture0","objectTexture1","modelTextureIdObject00","modelTextureIdObject01","skinnedModel","skinnedModelL","skinnedTexture0","skinnedTexture1","modelTextureIdSkinned00","modelTextureIdSkinned01","attachedModel","modelAttachmentIdAttached","attachedTexture0","attachedTexture1","modelTextureIdAttached00","modelTextureIdAttached01","componentRegionFlags","componentPriority","skinMaskMap","skinColorMap","skinNormalMap","skinDyeMap","armorMaskMap","armorColorMap","armorNormalMap","armorDyeMap","modelMeshId00","modelMeshId01","modelMeshId02","modelMeshId03","soundImpactDescriptionId","ItemVisualTypeId","soundReplaceDescriptionId","itemColorSetId","dyeChannelFlags","modelPoseId","modelPoseBlend","shaderPreset00","shaderPreset01"
2074,"CHR_Draken_M_Face_Purple_04",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_04.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Purple_04_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_04_Normal.tex","","","","","",15,0,0,0,0,0,0,0,7,0,0,0,0
2075,"CHR_Draken_M_Face_Purple_05",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_05.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Purple_05_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_05_Normal.tex","","","","","",16,0,0,0,0,0,0,0,7,0,0,0,0
2076,"CHR_Draken_M_Face_Purple_06",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_06.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Purple_06_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_06_Normal.tex","","","","","",17,0,0,0,0,0,0,0,7,0,0,0,0
2077,"CHR_Draken_M_Face_Purple_07",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_07.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Purple_07_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_07_Normal.tex","","","","","",18,0,0,0,0,0,0,0,7,0,0,0,0
2078,"CHR_Draken_M_Face_Purple_08",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_08.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Purple_08_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_08_Normal.tex","","","","","",19,0,0,0,0,0,0,0,7,0,0,0,0
2079,"CHR_Draken_M_Face_Purple_09",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_09.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Purple_09_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_09_Normal.tex","","","","","",20,0,0,0,0,0,0,0,7,0,0,0,0
2080,"CHR_Draken_M_Face_White_01",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_01.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_01_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_01_Normal.tex","","","","","",12,0,0,0,0,0,0,0,7,0,0,0,0
2081,"CHR_Draken_M_Face_White_02",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_02.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_02_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_02_Normal.tex","","","","","",13,0,0,0,0,0,0,0,7,0,0,0,0
2082,"CHR_Draken_M_Face_White_03",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_03.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_03_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_03_Normal.tex","","","","","",14,0,0,0,0,0,0,0,7,0,0,0,0
2083,"CHR_Draken_M_Face_White_04",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_04.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_04_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_04_Normal.tex","","","","","",15,0,0,0,0,0,0,0,7,0,0,0,0
2084,"CHR_Draken_M_Face_White_05",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_05.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_05_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_05_Normal.tex","","","","","",16,0,0,0,0,0,0,0,7,0,0,0,0
2085,"CHR_Draken_M_Face_White_06",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_06.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_06_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_06_Normal.tex","","","","","",17,0,0,0,0,0,0,0,7,0,0,0,0
2086,"CHR_Draken_M_Face_White_07",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_07.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_07_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_07_Normal.tex","","","","","",18,0,0,0,0,0,0,0,7,0,0,0,0
2087,"CHR_Draken_M_Face_White_08",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_08.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_08_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_08_Normal.tex","","","","","",19,0,0,0,0,0,0,0,7,0,0,0,0
2088,"CHR_Draken_M_Face_White_09",63,"","","","",0,0,"Art\Character\Draken\Male\Heads\Face_09.M3","","","",0,0,"",0,"","",0,0,280,1,"Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_Mask.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_White_09_Color.tex","Art\Character\Draken\Male\Textures\CHR_Draken_M_Face_09_Normal.tex","","","","","",20,0,0,0,0,0,0,0,7,0,0,0,0
2089,"WPN_Sword1H_Pell_000",51,"Art\Item\Weapon\Sword_1Hand\Pell_Sword_1H\WPN_Sword1H_Pell_000.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
2090,"WPN_Staff_Pell_001",50,"Art\Item\Weapon\Staff\Pell_Staff_01\WPN_Staff_Pell_001.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,2,0,0,0,0,0,0,0,0
2091,"WPN_Staff_Pell_002",50,"Art\Item\Weapon\Staff\Pell_Staff_02\WPN_Staff_Pell_002.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,2,0,0,0,0,0,0,0,0
2092,"WPN_Mace1H_Pell_000",51,"Art\Item\Weapon\Mace\Pell_Mace_1H\WPN_Mace1H_Pell_000.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,17,0,0,0,0,0,0,0,0
2093,"WPN_Sword2H_Falkrin_000",51,"Art\Item\Weapon\Sword_2Hand\Falkrin_Sword_01\WPN_Sword2H_Falkrin_000.m3","","Art\Item\Weapon\Sword_2Hand\Falkrin_Sword_01\Falkrin_Sword_01_color.tex","Art\Item\Weapon\Sword_2Hand\Falkrin_Sword_01\Falkrin_Sword_01_normal.tex",3,4,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
2094,"ITM_LaserTreeCutter",204,"Art\Item\Weapon\Rifle_2H\LaserPickAxe_2H\WPN_Rifle2H_LaserPickAxe_000.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,19,0,0,0,0,0,0,0,0
2095,"CHR_Aurin_F_Hair_03xxx",66,"","","","",0,0,"Art\Character\Aurin\Female\Heads\Hair_03.M3","","","",0,0,"",0,"","",0,0,54,30,"Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_03_mask.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_Purple_03_Color.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_03_normal.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_hair_03_Dye.tex","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2096,"CHR_Aurin_F_Hair_04xxx",66,"","","","",0,0,"Art\Character\Aurin\Female\Heads\Hair_04_aurin_F.M3","","","",0,0,"",0,"","",0,0,54,30,"Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_04_mask.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_Purple_04_Color.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_04_normal.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_hair_04_Dye.tex","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2097,"CHR_Aurin_F_Hair_05xxx",66,"","","","",0,0,"Art\Character\Aurin\Female\Heads\Hair_05.M3","","","",0,0,"",0,"","",0,0,166,30,"Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_05_mask.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_Purple_05_Color.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_05_normal.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_hair_05_Dye.tex","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2098,"CHR_Aurin_F_Hair_06xxx",66,"","","","",0,0,"Art\Character\Aurin\Female\Heads\Hair_06.M3","","","",0,0,"",0,"","",0,0,54,30,"Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_06_mask.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_Purple_06_Color.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_06_normal.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_hair_06_Dye.tex","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2099,"CHR_Aurin_F_Hair_07xxx",66,"","","","",0,0,"Art\Character\Aurin\Female\Heads\Hair_07.M3","","","",0,0,"",0,"","",0,0,54,30,"Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_07_mask.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_Purple_07_Color.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_07_normal.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_hair_07_Dye.tex","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2100,"CHR_Aurin_F_Hair_08xxx",66,"","","","",0,0,"Art\Character\Aurin\Female\Heads\Hair_08.M3","","","",0,0,"",0,"","",0,0,54,30,"Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_08_mask.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_Purple_08_Color.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_Hair_08_normal.tex","Art\Character\Aurin\Female\Textures\CHR_Aurin_F_hair_08_Dye.tex","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2101,"CHR_Chua_M_Skin_Badger",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Badger_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2102,"CHR_Chua_M_Skin_Blue",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Blue_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2103,"CHR_Chua_M_Skin_Pink",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Pink_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2104,"CHR_Chua_M_Skin_Raccoon",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Raccoon_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2105,"CHR_Chua_M_Skin_Rat",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Rat_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2106,"CHR_Chua_M_Skin_Red",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Red_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2107,"CHR_Chua_M_Skin_Skunk",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Skunk_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2108,"CHR_Chua_M_Skin_Yellow",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,16632,0,"","Art\Character\Chua\Male\Textures\CHR_Skin_Yellow_Chua_M_Color.tex","Art\Character\Chua\Male\Textures\CHR_Skin_Chua_M_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2109,"CHR_Chua_M_Face_Badger_01",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_01.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_01_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_01_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2110,"CHR_Chua_M_Face_Badger_02",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_02.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_02_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_02_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2111,"CHR_Chua_M_Face_Badger_03",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_03.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_03_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_03_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2112,"CHR_Chua_M_Face_Badger_04",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_04.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_04_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_04_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2113,"CHR_Chua_M_Face_Badger_05",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_05.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_05_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_05_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2114,"CHR_Chua_M_Face_Badger_06",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_06.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_06_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_06_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2115,"CHR_Chua_M_Face_Badger_07",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_07.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_07_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_07_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2116,"CHR_Chua_M_Face_Badger_08",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_08.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_08_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_08_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2117,"CHR_Chua_M_Face_Badger_09",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_09.M3","","","",0,0,"",0,"","",0,0,16,1,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Badger_09_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_09_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2118,"CHR_Chua_M_Face_Blue_01",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_01.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_01_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_01_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2119,"CHR_Chua_M_Face_Blue_02",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_02.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_02_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_02_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2120,"CHR_Chua_M_Face_Blue_03",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_03.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_03_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_03_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2121,"CHR_Chua_M_Face_Blue_04",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_04.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_04_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_04_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2122,"CHR_Chua_M_Face_Blue_05",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_05.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_05_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_05_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2123,"CHR_Chua_M_Face_Blue_07",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_07.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_07_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_07_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2124,"CHR_Chua_M_Face_Blue_08",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_08.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_08_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_08_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2125,"CHR_Chua_M_Face_Blue_09",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_09.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_09_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_09_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2126,"CHR_Chua_M_Face_Blue_06",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_06.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Blue_06_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_06_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2127,"CHR_Chua_M_Face_Pink_01",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_01.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_01_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_01_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2128,"CHR_Chua_M_Face_Pink_02",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_02.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_02_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_02_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2129,"CHR_Chua_M_Face_Pink_03",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_03.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_03_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_03_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2130,"CHR_Chua_M_Face_Pink_04",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_04.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_04_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_04_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2131,"CHR_Chua_M_Face_Pink_05",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_05.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_05_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_05_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2132,"CHR_Chua_M_Face_Pink_06",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_06.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_06_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_06_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2133,"CHR_Chua_M_Face_Pink_07",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_07.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_07_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_07_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2134,"CHR_Chua_M_Face_Pink_08",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_08.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_08_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_08_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
2135,"CHR_Chua_M_Face_Pink_09",63,"","","","",0,0,"Art\Character\Chua\Male\Heads\Face_09.M3","","","",0,0,"",0,"","",0,0,16,10,"Art\Character\Chua\Male\Textures\CHR_Chua_Face_Mask.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_Pink_09_Color.tex","Art\Character\Chua\Male\Textures\CHR_Chua_Face_09_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
